TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
3072106950,0.53889,2355341280,0.53085
3074270769,0.53929,2359997574,0.53082
3080540784,0.53883,2364533628,0.53033
3089476119,0.53797,2370395829,0.5297
3095824791,0.53741,2373280587,0.52976
3097727589,0.53772,2376020055,0.5299
3106778154,0.53701,2379394791,0.52989
3109148385,0.53773,2381093682,0.5305
3121944426,0.53635,2385125730,0.53076
3123115764,0.53698,2398126179,0.52899
3129026061,0.53673,2417258367,0.52562
3131938374,0.53676,2418122592,0.52614
3139707882,0.53603,2418845034,0.52691
3149024979,0.53516,2421813459,0.52735
3150724872,0.53598,2423232291,0.52744
3152892699,0.53638,2425356531,0.52783
3154540488,0.53711,2443269285,0.52497
3157016931,0.53802,2443415076,0.52549
3159614616,0.53835,2450465649,0.5248
3163163700,0.53839,2451277269,0.52534
3163213299,0.53914,2461932036,0.52373
3166870098,0.53923,2463061290,0.52421
3175725774,0.53828,2464047258,0.52471
3177647610,0.53889,2465658975,0.5252
3178670151,0.5393,2467027707,0.52577
3184439667,0.5393,2470584306,0.52569
3184927641,0.53992,2471788209,0.5265
3186115512,0.54113,2473002132,0.52709
3188686143,0.54188,2479663929,0.5262
3197053845,0.54143,2488199466,0.52507
3212605887,0.54023,2488276119,0.52552
3216430020,0.54073,2495946429,0.52462
3219288225,0.54249,2499077679,0.52476
3229506120,0.54207,2500090200,0.52577
3241991541,0.54177,2501377269,0.5262
3245774091,0.54249,2502168348,0.52663
3249612753,0.54407,2508467421,0.52617
3264773514,0.54351,2508726438,0.52683
3282323043,0.54211,2516780013,0.52574
3284725839,0.54375,2517930309,0.52624
3296888616,0.5435,2519579601,0.52706
3298149132,0.54483,2537729328,0.52413
